date,dcoilwtico
2017-01-01,
2017-01-02,44.59811746427464
2017-01-03,45.89380123152369
2017-01-04,46.227923360608386
2017-01-05,44.71096986063218
2017-01-06,45.31556945272552
2017-01-07,
2017-01-08,
2017-01-09,46.70974475961084
2017-01-10,46.40587579787267
2017-01-11,47.63730032800516
2017-01-12,47.76178646650163
2017-01-13,47.51309763081567
2017-01-14,
2017-01-15,
2017-01-16,47.4451319350542
2017-01-17,48.32673815565214
2017-01-18,47.665356023571796
2017-01-19,48.89295412001595
2017-01-20,48.450740888797895
2017-01-21,
2017-01-22,
2017-01-23,49.49296757977118
2017-01-24,48.736787712490894
2017-01-25,48.63075491215539
2017-01-26,48.72272153143629
2017-01-27,49.28749837151587
2017-01-28,
2017-01-29,
2017-01-30,49.2552424783688
2017-01-31,50.26662039152934
2017-02-01,48.71037894890911
2017-02-02,48.607277180420425
2017-02-03,48.374674978081266
2017-02-04,
2017-02-05,
2017-02-06,48.5688212327098
2017-02-07,48.03505480593963
2017-02-08,47.93549845828568
2017-02-09,48.700997081198665
2017-02-10,48.626832730814264
2017-02-11,
2017-02-12,
2017-02-13,47.87375511641379
2017-02-14,47.63814708797574
2017-02-15,47.52510173445323
2017-02-16,47.73511217227077
2017-02-17,47.15795237259208
2017-02-18,
2017-02-19,
2017-02-20,46.59683960481826
2017-02-21,46.59237480497455
2017-02-22,45.125797559940054
2017-02-23,45.591691597466614
2017-02-24,45.28225643966379
2017-02-25,
2017-02-26,
2017-02-27,45.796679243559964
2017-02-28,44.15833239787447
2017-03-01,45.037908783352364
2017-03-02,43.22800628552857
2017-03-03,43.81993559425315
2017-03-04,
2017-03-05,
2017-03-06,43.817773354320806
2017-03-07,43.66618072158436
2017-03-08,42.78565676229756
2017-03-09,42.528387169212436
2017-03-10,43.1382606987206
2017-03-11,
2017-03-12,
2017-03-13,41.44266753957559
2017-03-14,41.42111864716732
2017-03-15,42.13057745382431
2017-03-16,41.78700183375039
2017-03-17,41.9952807834853
2017-03-18,
2017-03-19,
2017-03-20,41.659296231297354
2017-03-21,41.021877699280665
2017-03-22,41.41679667481933
2017-03-23,40.692723964699624
2017-03-24,40.83126038785252
2017-03-25,
2017-03-26,
2017-03-27,41.292376872203185
2017-03-28,40.72690693903391
2017-03-29,41.036715900836
2017-03-30,41.350590855165066
2017-03-31,41.375135750047534
2017-04-01,
2017-04-02,
2017-04-03,41.059789542459356
2017-04-04,41.35785617953324
2017-04-05,40.49629572742015
2017-04-06,40.75421104326748
2017-04-07,40.95306266631704
2017-04-08,
2017-04-09,
2017-04-10,41.6345512645024
2017-04-11,42.112696407661076
2017-04-12,43.28909517923834
2017-04-13,42.47344865038591
2017-04-14,43.31450162067641
2017-04-15,
2017-04-16,
2017-04-17,42.89335200658913
2017-04-18,43.46738107220419
2017-04-19,44.38652288967874
2017-04-20,43.06093152965564
2017-04-21,44.575749067270586
2017-04-22,
2017-04-23,
2017-04-24,44.110735275175266
2017-04-25,45.243785744157016
2017-04-26,45.104331772990285
2017-04-27,45.7818502654269
2017-04-28,45.87359123966533
2017-04-29,
2017-04-30,
2017-05-01,45.882506426711764
2017-05-02,46.807837040763154
2017-05-03,47.03069000523213
2017-05-04,47.90676622166298
2017-05-05,47.778429279015
2017-05-06,
2017-05-07,
2017-05-08,47.078081800057824
2017-05-09,47.56226892062571
2017-05-10,47.535863859070616
2017-05-11,47.9940729581056
2017-05-12,47.52813629381867
2017-05-13,
2017-05-14,
2017-05-15,47.78673704393746
2017-05-16,48.14265245837443
2017-05-17,49.01131003355422
2017-05-18,49.3854825131501
2017-05-19,50.128069682960565
2017-05-20,
2017-05-21,
2017-05-22,48.405424453637764
2017-05-23,47.71833544612357
2017-05-24,49.14427099587259
